,Class,Accuracy %
0,68,0.93
1,48,0.92
2,53,0.91
3,42,0.88
4,56,0.88
5,82,0.88
6,20,0.87
7,8,0.86
8,39,0.86
9,94,0.86
10,76,0.83
11,1,0.81
12,54,0.81
13,60,0.81
14,86,0.81
15,0,0.8
16,17,0.79
17,24,0.79
18,41,0.79
19,75,0.79
20,5,0.78
21,22,0.77
22,85,0.77
23,49,0.76
24,91,0.76
25,71,0.75
26,88,0.75
27,14,0.73
28,89,0.73
29,18,0.72
30,21,0.72
31,81,0.71
32,23,0.7
33,30,0.7
34,12,0.69
35,9,0.68
36,28,0.68
37,57,0.68
38,33,0.67
39,47,0.67
40,62,0.67
41,87,0.67
42,99,0.67
43,58,0.66
44,15,0.65
45,37,0.65
46,83,0.65
47,6,0.64
48,16,0.64
49,79,0.64
50,69,0.63
51,78,0.63
52,52,0.62
53,59,0.61
54,90,0.61
55,95,0.61
56,97,0.61
57,29,0.6
58,31,0.6
59,34,0.6
60,70,0.6
61,7,0.59
62,61,0.59
63,63,0.59
64,92,0.59
65,13,0.58
66,19,0.58
67,36,0.58
68,51,0.58
69,77,0.58
70,32,0.57
71,43,0.57
72,66,0.55
73,2,0.53
74,26,0.53
75,27,0.52
76,45,0.52
77,73,0.5
78,84,0.5
79,65,0.49
80,96,0.49
81,40,0.48
82,98,0.48
83,64,0.45
84,67,0.45
85,50,0.44
86,25,0.42
87,46,0.42
88,3,0.41
89,4,0.41
90,38,0.41
91,80,0.41
92,93,0.37
93,10,0.33
94,74,0.33
95,11,0.32
96,35,0.32
97,44,0.28
98,55,0.28
99,72,0.24
